S.No,Student,Enrollment,Section,Mooc1,TW Test1,TW Test 2,Quiz 1,Assignment1,Assignment2,Coding Exercise 1,Coding Exercise 2,Assignment 3,Assignment4,Assignment5,IITB ,Debug1,Debug2,Debug3,Debug4,Long Hour,Oral VIVA,ESE1 
1,A,1,ICT-TK,5,7,10,1,0,5,0,1,3,3,3,6,5,5,1,5,18,2,20
2,B,2,ICT-TK,5,8,10,2,5,5,3,3,3,3,6,9,5,5,5,5,20,5,28
3,C,3,ICT-TK,4,5,9,1,0,5,1,1,3,2,3,6,5,5,1,0,16,3,34
4,D,4,ICT-TK,4,0,0,1,2,0,1,0,0,0,0,0,5,0,0,0,0,0,0
5,E,5,ICT-TK,0,5,10,1,2,5,1,2,3,2,2,5,5,5,1,5,12,1,22
6,F,6,ICT-TK,5,8,10,1,4,5,2,3,3,3,5,10,5,5,4,3,20,4,43
7,G,7,ICT-TK,5,5,5,1,0,5,0,0,3,3,5,7,0,5,0,5,13,4,32
8,H,8,ICT-TK,4,5,8,1,0,5,1,1,3,3,3,4,0,5,3,5,19,2,22
9,I,9,ICT-TK,5,7,10,1,4,5,2,3,3,3,6,10,5,5,4,5,13,4,41
10,J,10,ICT-TK,5,8,8,2,2,5,2,0,3,3,6,9,5,5,0,3,20,4,47
11,K,11,ICT-TK,4,6,10,1,1,5,0,2,3,3,5,6,5,5,4,5,14,4,33
12,L,12,ICT-TK,0,5,5,0,1,0,0,0,0,2,0,4,0,0,2,0,11,0,4
13,M,13,ICT-TK,5,10,10,1,5,5,1,3,3,2,5,9,5,5,4,5,14,4,28
14,N,14,ICT-TK,5,10,10,1,4,5,2,3,3,3,6,7,5,5,5,5,20,5,40
15,O,15,ICT-TK,5,6,10,1,1,5,0,2,3,3,5,9,5,5,5,5,14,4,20
16,P,16,ICT-TK,5,7,10,1,3,5,1,3,3,3,6,7,5,3,5,5,20,5,43
17,Q,17,ICT-TK,5,10,9,1,4,5,2,2,3,3,6,6,5,5,4,5,14,5,37
18,R,18,ICT-TK,4,5,8,1,0,3,2,1,3,2,4,7,5,3,5,3,14,3,20
19,S,19,ICT-TK,4,5,10,0,0,3,0,1,0,0,0,3,0,0,1,0,16,0,4
20,T,20,ICT-TK,5,8,9,1,4,5,3,3,3,3,6,10,3,5,4,5,19,5,40
21,U,21,ICT-TK,5,4,8,1,1,1,0,0,3,0,4,5,0,0,2,0,14,3,25
22,V,22,ICT-TK,5,9,10,0,5,5,3,3,4,3,6,10,5,5,5,5,20,5,48
23,W,23,ICT-TK,5,10,10,1,2,3,1,3,3,3,6,6,5,5,1,0,20,5,39
24,X,24,ICT-TK,5,6,6,2,2,4,0,0,3,3,5,6,5,3,4,5,14,5,28
25,Y,25,ICT-TK,5,9,10,2,5,5,3,3,3,3,6,10,5,5,5,5,20,5,48
26,Z,26,ICT-TK,4,4,10,1,0,5,0,0,3,3,3,7,5,5,0,5,16,3,19
27,AA,27,ICT-TK,5,5,10,0,3,5,0,3,3,3,1,10,5,5,2,4,12,3,35
28,AB,28,ICT-TK,4,3,6,1,0,5,0,2,3,3,4,7,0,0,1,3,15,3,25
29,AC,29,ICT-TK,5,7,10,1,1,5,1,3,3,2,4,5,0,3,1,0,13,3,20
30,AD,30,ICT-TK,5,6,6,2,2,5,1,3,3,3,5,6,5,5,5,5,14,4,25
31,AE,31,ICT-TK,5,7,10,1,1,5,1,3,3,3,6,8,5,5,5,5,20,5,47
32,AF,32,ICT-TK,5,8,10,2,5,5,3,3,3,3,6,10,5,5,5,5,20,5,48
33,AG,33,ICT-TK,4,5,10,1,1,5,0,0,3,3,5,5,5,5,3,5,20,3,27
34,AH,34,ICT-TK,4,5,9,0,0,5,0,1,3,3,4,3,5,5,3,5,12,4,24
35,AI,35,ICT-TK,0,0,0,0,0,0,0,0,3,0,0,4,3,3,0,0,11,2,4
36,AJ,36,ICT-TK,5,5,5,1,1,5,0,0,3,3,4,5,3,3,2,3,14,3,20
37,AK,37,ICT-TK,3,6,9,1,1,3,0,1,2,2,5,6,3,0,4,5,20,4,22
38,AL,38,ICT-TK,5,7,10,0,2,5,0,1,3,3,5,8,5,5,3,5,20,4,24
39,AM,39,ICT-TK,5,5,8,1,0,5,0,1,3,3,4,6,5,5,2,5,15,4,20
40,AN,40,ICT-TK,4,5,9,1,1,5,1,2,3,3,6,8,5,5,3,5,20,4,33
41,AO,41,ICT-TK,4,5,8,1,1,5,0,1,3,3,2,4,0,0,3,5,17,3,19
42,AP,42,ICT-TK,5,5,10,1,1,5,1,1,3,3,6,6,5,5,2,0,20,5,34
43,AQ,43,ICT-TK,5,9,10,1,5,5,3,3,3,3,6,10,5,5,5,3,18,5,47
44,AR,44,ICT-TK,4,8,10,2,4,5,3,3,0,2,6,10,0,0,5,5,20,5,35
45,AS,45,ICT-TK,4,8,5,0,0,5,1,1,3,3,4,8,3,3,2,0,17,4,35
46,AT,46,ICT-TK,0,5,9,1,1,5,0,1,3,0,6,7,5,5,4,3,16,4,34
